# Port-to-Service mapping file
# Format: port,service
# Lines starting with # are comments
# Edit this file to add or remove port mappings
5433,PygreSQL
5440,Mattermost
5443,Spss
5445,Smbdirect
5450,TiEPAgent
5454,APC-5454
5455,APC-5455
5480,VMware-Lifecycle
5500,VNC-HTTP
5501,FCP-Srvr-Inst1
5502,FCP-Srvr-Inst2
5510,Secureidprop
5544,DTPT
5550,SDAdmind
5554,SGI-ESP-HTTP
5555,FreeciV
5560,ISQLPlus
5570,SDMmp
5601,Kibana
5631,PCAnywhere-Data
5632,PCAnywhere-Stat
5666,Nagios-NRPE
5667,Nagios-NSCA
5672,AMQP
5673,JMQTT
5674,Hyperscaler-MSG
5675,V5UA
5678,RRAC
5683,CoAP
5718,DPM
5722,DFSR
5800,VNC-HTTP-Alt
5801,VNC-HTTP-Alt1
5814,STP-Events
5850,COMIT
5900,VNC
5901,VNC-1
5902,VNC-2
5903,VNC-3
5938,TeamViewer
5984,CouchDB
5985,WinRM-HTTP
5986,WinRM-HTTPS
5999,CVSup
6000,X11
6001,X11-1
6002,X11-2
6003,X11-3
6005,X11-5
6006,X11-6
6050,Arcserve
6060,X11-SSH-Offset
6100,SynchroNet-IO
6101,BackupExec
6110,HP-SoftBench-CM
6111,SPC
6112,Battle.net-Game
6129,DameWare
6156,Impera
6200,LM-X
6225,Vanatomy
6227,Not-Assigned
6262,Sybase-Rep-Agent
6263,Not-Assigned
6264,Not-Assigned
6346,Gnutella
6347,Gnutella2
6350,ADAP
6379,Redis
6389,ClariionEvr01
6432,PgBouncer
6443,Kubernetes-API
6502,Netop-BBS
6503,BKS-Audit
6514,Syslog-TLS
6515,Elipse-RPC
6543,Pylons
6556,Checkmk-Agent
6566,SANE-Port
6567,eSilo-SCP
6580,Parsec-Master
6588,AnalogX-Proxy
6600,MPD
6646,McRee-LM
6660,IRC-Alt
6661,IRC-Alt
6662,IRC-Alt
6663,IRC-Alt
6664,IRC-Alt
6665,IRC
6666,IRC
6667,IRC
6668,IRC
6669,IRC
6679,OsautSec
6697,IRC-TLS
6699,WinMX
6771,PolycomDataComm
6782,Consul-HTTP
6783,Consul-Serf
6789,Ubiquiti-Admin
6881,BitTorrent
6882,BitTorrent
6883,BitTorrent
6884,BitTorrent
6885,BitTorrent
6886,BitTorrent
6887,BitTorrent
6888,BitTorrent
6889,BitTorrent
6891,BitTorrent
6901,Jetnet
6969,ACMSODA
7000,AFS3-FileServer
7001,AFS3-Callback
7002,AFS3-PRServer
7003,AFS3-VLServer
7004,AFS3-KAServer
7005,AFS3-VolServer
7006,AFS3-Errors
7007,AFS3-BOS
7008,AFS3-Update
7009,AFS3-RMTsys
7010,EMC-MirrorSys
7025,Zimbra-LMTP
7047,Unknown
7070,ARCP
7071,Zimbra-Admin
7080,EmpowerID
7100,X-Font-Server
7171,Tibia
7200,VBrick-RTSP
7201,DLIP
7272,WatchMe-7272
7396,PlusThree
7400,RTPS-Discovery
7401,RTPS-DD-UT
7402,RTPS-DD-MT
7443,Oracle-AS-HTTPS
7474,Neo4j-HTTP
7478,OpenMQ-HTTPS
7547,CWMP
7548,Tideway-D-S
7549,NLS-TL
7634,HDDTemp
7655,I2P-SAM
7656,I2P-Unnamed
7657,I2P-Router
7670,OpenMQ-Bridge
7676,IMQBROKERD
7680,WUDO
7687,Neo4j-Bolt
7700,EMC-CTA
7707,WinBack
7717,MC-Appserver
7718,MC-DataServer
7777,CBOSS
7778,Interwise
7779,Vstat
7780,Acme-LM
7788,Office-Tools
7999,iChat
8000,HTTP-Alt
8001,HTTP-Alt
8002,Teradici-PCoIP
8003,MCTP
8005,Tomcat-Shutdown
8006,Proxmox-Web
8008,HTTP-Alt
8009,AJP13
8010,XSP-Mono
8020,HDFS-NameNode
8023,APC-Agent-HTTPS
8042,YARN-NodeManager
8060,Roku-Debug
8069,Odoo
8080,HTTP-Proxy
8081,HTTP-Alt
8082,HTTP-Alt
8083,HTTP-Alt
8085,HTTP-Alt
8086,InfluxDB
8087,Riak-PB
8088,YARN-ResourceManager
8089,Splunk-Mgmt
8090,HTTP-Alt
8091,Couchbase-Web
8096,Jellyfin
8099,Remote-Potato
8100,XPrint
8112,Deluge-Web
8118,Privoxy
8123,Home-Assistant
8125,StatsD
8126,StatsD-Admin
8139,Puppet-Agent
8140,Puppet
8153,Quantastor
8172,MS-Web-Deploy
8180,HTTP-Alt
8181,HTTP-Alt
8200,Trivnet1
8222,VMware-VCenter
8243,HTTPS-Inbound
8280,Synapse-HTTP
8281,Synapse-HTTPS
8291,MikroTik-WinBox
8300,Consul-Server
8301,Consul-Serf-LAN
8302,Consul-Serf-WAN
8332,Bitcoin-RPC
8333,Bitcoin
8334,Bitcoin-Testnet
8383,HTTP-Alt
8384,Syncthing-GUI
8388,ShadowSocks
8400,CVPM-Agent
8401,Sabarsd
8403,Admind
8443,HTTPS-Alt
8444,HTTPS-Alt
8471,PIM-Over-TCP
8500,Consul-HTTP
8530,WSUS-HTTP
8531,WSUS-HTTPS
8545,Ethereum-JSON-RPC
8554,RTSP-Alt
8600,Consul-DNS
8649,Ganglia-gmond
8686,SunProxyadmin
8688,OpenRemote
8765,UltraMediaPlayer
8800,SunWebAdmin
8834,Nessus-HTTPS
8880,CDDBP-Alt
8883,MQTT-SSL
8888,HTTP-Alt
8889,Desktop-Aerobics
8899,OSPF-Lite
8983,Apache-Solr
8999,BChannel
9000,CSListener
9001,Tor-ORPort
9002,DynamID
9003,PHPStorm-Debug
9009,Pichat
9010,SDRsharp
9030,Tor-DirPort
9042,Cassandra-Native
9043,WebSphere-Admin-Secure
9050,Tor-SOCKS
9051,Tor-Control
9060,WebSphere-Admin
9080,Glrpc
9081,Cisco-AQOS
9083,Hive-Metastore
9090,Prometheus
9091,Transmission-Web
9092,Kafka
9093,Kafka-SSL
9094,Kafka-SASL
9100,JetDirect
9101,Bacula-Dir
9102,Bacula-FD
9103,Bacula-SD
9110,HyperWave-ISP
9111,DragonIDSConsole
9160,Cassandra-Thrift
9191,Sun-AS-JPDA
9200,Elasticsearch
9201,WAP-WSP-WTP-S
9300,Elasticsearch-Transport
9306,Sphinx-SphinxQL
9312,Sphinx-API
9333,Litespeed-Admin
9389,ADWS
9390,OpenVAS
9391,OpenVAS-Admin
9392,OpenVAS-Manager
9418,Git
9443,Tungsten-HTTPS
9464,OpenTelemetry
9530,Unknown
9535,Man-Com
9600,OMSA-Agent
9614,iADT-Disc
9633,Unknown
9666,Zoomcp
9761,Unknown
9800,WebDAV
9869,Unknown
9876,Solr-SD
9898,MonkeyCom
9899,SCTP-Tunneling
9981,TVheadend-HTTP
9987,TeamSpeak3
9990,WildFly-Admin
9997,Splunk-Fwd
9998,Distinct32
9999,Urchin
10000,Webmin
10001,SCP-Config
10010,RxAPI
10050,Zabbix-Agent
10051,Zabbix-Server
10080,Amanda
10110,NMEA-0183
10200,Frisk-TripleDES
10243,MS-FSAFSR
10250,Kubernetes-Kubelet
10255,Kubernetes-Read-Only
10443,CirrosIP
10500,HP-Data-Protector
10554,RTSP-Alt
10616,Skyfish
10621,Unknown
10823,Unknown
10891,Unknown
10990,Unknown
11000,IRISA
11001,MetaSys
11095,Weave-Net
11100,Robot-Arena
11111,VCE-LM
11211,Memcached
11214,iRDMI
11215,iRDMI
11235,Xcompute
11311,ROS-Master
11371,PGP-HKP
11672,Unknown
12000,Entextxid
12174,Unknown
12215,Unknown
12222,Unknown
12345,Netbus
12443,Unknown
12489,Unknown
12975,LogMeIn
13000,Unknown
13720,Veritas-NetBackup
13722,Veritas-BP-Java-MSVC
13724,Veritas-VNETD
13782,Veritas-BPCD
13783,Veritas-VOPIED
14000,Unknown
14147,Unknown
14265,IOTA-API
14443,Unknown
14500,Unknown
14567,Battlefield
15000,HydraP
15432,Unknown
15672,RabbitMQ-Mgmt
16000,Oracle-EM
16010,HBase-Master
16020,HBase-RegionServer
16080,MacOS-OSXD
16384,Connected-Backup
16443,Unknown
16992,Intel-AMT-HTTP
16993,Intel-AMT-HTTPS
17000,Unknown
17500,Dropbox-LAN-Sync
17988,Unknown
18080,HTTP-Alt
18081,HTTP-Alt
18091,Couchbase-Cluster
18092,Couchbase-CAPI
19132,Minecraft-Bedrock
19150,Gkrellm
19226,AdminSecure
19300,Unknown
19812,Unknown
19999,DNP-Secure
20000,DNP
20547,Unknown
20720,Symantec-IA
21025,Unknown
21379,Unknown
22000,Syncthing
22222,easyEngine
22347,WibuKey
22350,CodeMeter
23053,Gntp
24007,GlusterFS-Daemon
24008,GlusterFS-Mgmt
24800,Synergy
25000,IBM-Db2
25432,Unknown
25565,Minecraft-Java
25575,Minecraft-RCON
26000,Quake
26257,CockroachDB
27015,Steam-SRCDS
27016,MongoCfg
27017,MongoDB
27018,MongoShard
27019,MongoConfig
27374,SubSeven
28015,RethinkDB
28017,MongoDB-HTTP
29418,Gerrit-SSH
30000,Cassandra-NDaemon
30303,Ethereum-P2P
30718,Unknown
31337,BackOrifice
32400,Plex-Media
32764,Router-Backdoor
33060,MySQL-X
33848,Jenkins-Agent
34443,Unknown
35357,OpenStack-Keystone-Admin
37215,Huawei-HG532
38080,Unknown
38292,Unknown
40000,SafeNet-Sentinel
41794,Crestron-CTP
41795,Crestron-CIP
42000,Unknown
43594,RuneScape
44158,Helium
44818,EtherNet-IP
47001,WinRM-Compat
47808,BACnet
48080,Unknown
49151,Reserved
49152,Unknown
50000,SAP-Start
50030,Hadoop-JobTracker
50060,Hadoop-NameNode-HTTP
50070,Hadoop-DFS-HTTP
50075,Hadoop-DFS-DataNode
50090,Hadoop-Secondary-NN
51413,Transmission-BT
54321,Unknown-Bo2k
55443,Unknown
55553,Unknown
55672,RabbitMQ-Old
57621,Spotify-LAN
58846,Deluge-Daemon
60000,Unknown
60010,HBase-Info
61613,STOMP
61616,ActiveMQ
62078,iPhone-Sync
64738,Mumble
65535,Reserved
